country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","23-02-2025 22:00:00",28.5504249,77.2159377,SO2,72,75,73
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","23-02-2025 22:00:00",28.5504249,77.2159377,CO,10,102,25
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","23-02-2025 22:00:00",28.710508,77.249485,PM2.5,38,213,96
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","23-02-2025 22:00:00",28.710508,77.249485,PM10,67,171,106
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","23-02-2025 22:00:00",28.710508,77.249485,NH3,5,8,7
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","23-02-2025 22:00:00",28.710508,77.249485,CO,28,105,77
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","23-02-2025 22:00:00",28.699793,77.165453,PM2.5,55,297,166
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","23-02-2025 22:00:00",28.699793,77.165453,PM10,101,250,151
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","23-02-2025 22:00:00",28.699793,77.165453,SO2,5,18,12
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","23-02-2025 22:00:00",22.977134,72.553024,OZONE,1,75,37
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","23-02-2025 22:00:00",28.593883,76.270653,PM2.5,NA,NA,NA
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","23-02-2025 22:00:00",28.593883,76.270653,SO2,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","23-02-2025 22:00:00",28.39072,77.30059,NO2,9,11,10
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","23-02-2025 22:00:00",28.39072,77.30059,CO,12,37,18
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","23-02-2025 22:00:00",23.163798,72.677768,NO2,40,67,52
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","23-02-2025 22:00:00",23.243639,72.68994,NO2,14,118,59
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","23-02-2025 22:00:00",12.938539,77.590100,OZONE,18,109,78
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","23-02-2025 22:00:00",12.920984,77.584908,SO2,4,17,8
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","23-02-2025 22:00:00",12.7816279,77.6299145,PM10,58,117,90
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","23-02-2025 22:00:00",13.003872,77.664217,NO2,32,36,35
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","23-02-2025 22:00:00",13.003872,77.664217,SO2,8,9,9
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","23-02-2025 22:00:00",13.0270199,77.494094,PM2.5,63,85,72
